Type,Parent,Corpus,Nom,Mappage Surgenre-COLaF,Mappage Genre-COLaF,Mappage-MotsClef-COLAF,Commentaire
Genre,FICTION,Brown,Adventure and Western,Fiction,,Genres Littéraires,
Genre,FICTION,Brown,Romance and Love Story,Fiction,,Genres Littéraires,
Supergenre,,Brown,HUMOR,NonFiction,,,
Sous-genre,HUMOR,Brown,Novels,NonFiction,,Format,
Sous-genre,HUMOR,Brown,Essays,NonFiction,,Format,
Supergenre,,ICE-GB,SPOKEN,Spoken,,,
Supergenre,SPOKEN,ICE-GB,Dialogue,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Supergenre,SPOKEN,ICE-GB,Monologue,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Supergenre,SPOKEN,ICE-GB,Mixed,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Genre,Dialogue,ICE-GB,Private,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Genre,Dialogue,ICE-GB,Public,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Genre,Monologue,ICE-GB,Unscripted,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Genre,Monologue,ICE-GB,Scripted,Spoken,,Format,"Actuellement en Genres, peut-être plus intéressant en mot clefs complémentaire?"
Sous-genre,Private,ICE-GB,Face-to-face conversations,Spoken,spoken-transcript of video/audio,,
Sous-genre,Private,ICE-GB,Phone Calls,Spoken,spoken-transcript of video/audio,,
Sous-genre,Public,ICE-GB,Classroom Lesson,Spoken,spoken-transcript of video/audio,,
Sous-genre,Public,ICE-GB,Broadcast Discussions,Spoken,spoken-transcript of video/audio,,
Sous-genre,Public,ICE-GB,Broadcast Interviews,Spoken,spoken-interview,,
Sous-genre,Public,ICE-GB,Parliamentary debates,Spoken,spoken-transcript of video/audio,,
Sous-genre,Public,ICE-GB,Legal Cross-examinations,Spoken,spoken-transcript of video/audio,,
Sous-genre,Public,ICE-GB,Business transactions,Spoken,spoken-transcript of video/audio,,
Sous-genre,Unscripted,ICE-GB,Spontaneous commentaries,Spoken,spoken-transcript of video/audio,,
Sous-genre,Unscripted,ICE-GB,unscripted speeches,Spoken,spoken-transcript of video/audio,,
Sous-genre,Unscripted,ICE-GB,demonstrations,Spoken,spoken-transcript of video/audio,,
Sous-genre,Unscripted,ICE-GB,legal presentations,Spoken,spoken-transcript of video/audio,,
Sous-genre,Scripted,ICE-GB,Broadcast Talks,Spoken,spoken-transcript of video/audio,,
Sous-genre,Scripted,ICE-GB,Non broadcast Talks,Spoken,spoken-transcript of video/audio,,
Sous-genre,Mixed,ICE-GB,Broadcast News,Spoken,spoken-transcript of video/audio,,
Supergenre,,ICE-GB,WRITTEN,,,,
Supergenre,WRITTEN,ICE-GB,Non-Printed,,,,
Supergenre,WRITTEN,ICE-GB,Printed,,,,
Genre,Non-Printed,ICE-GB,Non-Professional writing,,,,
Genre,Non-Printed,ICE-GB,Correspondance,NonFiction,,,
Sous-genre,Non-Professional writing,ICE-GB,Student essays,NonFiction,nonfiction-learningmaterials,Format,
